"","id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes"
"3107","tm949905","Asura Guru","MOVIE","Shakti, who becomes obsessed with money from childhood, goes on to become a tech-savvy thief. However, he becomes a changed man due to certain circumstances when cops nab him.",2020,"",120,"['crime', 'thriller', 'action']","['IN']",NA,"tt8011344",3.2,316
"3108","ts90466","Hong Kong West Side Stories","SHOW","The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit.",2019,"TV-MA",23,"['drama', 'comedy']","['HK']",2,"tt10284430",5.7,6
"3109","tm920320","Lift Like a Girl","MOVIE","An intimate journey into the inner life of an aspiring athlete and the female weightlifting community of Alexandria. For 4 years, Zebiba goes through victories and defeats, including major losses that shape her, as she finds her way from dust to gold.",2020,"",93,"['documentation']","['DK', 'EG', 'DE']",NA,"tt7240536",7.8,208
"3110","tm467955","Francesco De Carlo: Cose di Questo Mondo","MOVIE","Taking to the stage in Milan, Francesco de Carlo opens up about bad habits, religion, politics and what he's learned from travelling the world.",2019,"",61,"['comedy']","[]",NA,"tt10087952",6.3,110
"3111","tm976168","Gone","MOVIE","Alex and Thomas Bradburry experience a series of strange events when they install a monitor in Olivia's room.",2020,"",15,"['horror', 'drama']","['AU']",NA,"tt15140954",7.1,18
"3112","ts89336","Charlie's Colorforms City","SHOW","Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West -- and right at home.",2019,"TV-Y",23,"['animation', 'family']","['US']",4,"tt8115672",7,148
"3113","ts89656","The Legend of White Snake","SHOW","Provoked by the actions of a seemingly sly human, an ancient snake spirit takes on a human form, in order to prove him a fraud. Convinced she’s doing the world a favor, Bai Su Zhen challenges Xu Xuan to a contest of skill but what starts as a heated rivalry soon turns to burning passion. Faced with opposition from every side, Bai Su Zhen and Xu Xuan’s love is put to the test time and time again.",2019,"TV-14",46,"['scifi', 'drama', 'fantasy']","['CN']",1,"tt10628250",7.4,224
"3114","tm845942","A Family Reunion Christmas","MOVIE","M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.",2019,"",29,"['comedy', 'family']","['US']",NA,"tt11193888",5.8,216
"3115","ts314529","캐치! 티니핑","SHOW","",2020,"TV-Y",12,"[]","[]",2,"",NA,NA
"3116","tm950808","Miss India","MOVIE","Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business.",2020,"",136,"['drama']","['IN']",NA,"",NA,NA
"3117","tm507191","Mayday Life","MOVIE","Mayday LIFE TOUR is linked by four distinct segments and the story is unveiled in “Yesterday’s Rumbling Fun”.",2019,"",112,"['documentation', 'music']","['TW']",NA,"tt10346206",6.7,122
"3118","tm958984","Voiceless","MOVIE","The Hausa feature film is a story of love and the power of dreams in the midst of the violence and terrorism in Nigeria's northeast and is based on eyewitness account. It follows the story of a bright, promising girl, Salma who was held captive by a daring terrorist group along with 245 of her schoolmates. Despite her seemingly hopeless reality, she refuses to give up on her huge dreams. The struggle to regain freedom and realize her dreams leads to unfathomable pains and deaths.",2020,"",120,"['thriller']","[]",NA,"tt13149312",6.8,31
"3119","ts213611","Bangkok Love Stories: Plead","SHOW","When a blind fortune teller decides to love a confident girl, who doesn't believe in fate, even the horoscope of both will be very strongly, that may cause his fate to be absent...",2019,"",44,"['drama']","['TH']",1,"tt10438656",7.3,57
"3120","tm115973","Guna 369","MOVIE","Guna is a happy-go-lucky guy who believes the solution to solving issues is not through violence but through compromise.When he is framed for a crime he didn't commit by someone close to him, Guna is left with no choice and forced to the extremes to prove his innocence.",2019,"",146,"['romance', 'drama']","['IN']",NA,"tt1477110",6.7,19
"3121","ts214579","Dino Girl Gauko","SHOW","A children's animation on a seemingly typical girl who turns into a ferocious dinosaur when she is angry.",2019,"",9,"['animation', 'comedy', 'family', 'fantasy', 'scifi']","['JP']",2,"tt10380814",6.6,71
"3122","tm823459","Léa & I","MOVIE","Best friends travel though Latin America meeting shamans, experimenting with plant medicines, and wondering about what makes a life well-lived when one of them might have half the time to live it.",2019,"",84,"['documentation']","['US']",NA,"tt9382396",6.5,215
"3123","ts252695","Bookmarks: Celebrating Black Voices","SHOW","Celebrity readers share children's books by Black authors to spark kid-friendly conversations about empathy, equality, self-love and antiracism.",2020,"TV-G",7,"['family']","['US']",1,"tt12923664",5,160
"3124","tm849871","No andaba muerto, estaba de parranda","MOVIE","Juan Pablo, upon learning that he was going to die, thought to steal the mafia and spend every penny in Europe with Javier, his only friend. Thus, these humble employees embark on an expensive and fun journey, with the complicity of Monica their co-worker. Rumba, clandestine fights and a hitman who pursues them, will make them live all kinds of adventures in this crazy trip. What you never imagine is that they would have to answer for the money spent since Juan was not dead, but was partying!",2020,"",90,"['comedy']","[]",NA,"tt12263440",5.2,102
"3125","tm817542","Hikaru Utada Laughter in the Dark Tour 2018","MOVIE","Celebrating twenty years since her debut, Hikaru Utada takes the stage at Makuhari Messe for the final performance of her Laughter in the Dark Tour.",2019,"G",141,"['documentation', 'music']","['JP']",NA,"tt10556746",8.3,81
"3126","tm983091","The Netflix Afterparty: The Best Shows of The Worst Year","MOVIE","David Spade, Fortune Feimster and London Hughes welcome guests from Tiger King, Emily in Paris, The Queen's Gambit, and more.",2020,"",59,"['documentation']","['US']",NA,"",NA,NA
"3127","tm896246","George Lopez: We'll Do It for Half","MOVIE","Comedian George Lopez tackles the future and the past of Latinx culture in America, touching on immigration, his tough relatives, aging and much more.",2020,"",51,"['comedy']","['US']",NA,"tt12358794",5.7,444
"3128","tm845607","Spirit Riding Free: Spirit of Christmas","MOVIE","Lucky and her friends venture into town on Christmas Eve in an attempt to fulfill their holiday plans. But when distractions lead to delays, they must figure out how to get home in time for Christmas in the middle of a serious snowstorm!",2019,"PG",45,"['animation', 'action', 'comedy', 'drama', 'family']","['US']",NA,"tt11313068",5.2,122
"3129","ts217553","Sexy Central","SHOW","In the bustling center of Hong Kong, five women reckon with betrayal, unrequited love and other matters of the heart",2019,"TV-MA",30,"['comedy']","['HK']",1,"",NA,NA
"3130","tm917846","The Letter Reader","MOVIE","While struggling to adapt to a new environment, Siyabonga, a 12-year-old boy discovers the impact of reading letters to people. One day a letter with bad news lands in his hands.",2019,"",29,"['drama']","['ZA']",NA,"",NA,NA
"3131","tm921416","Class of '83","MOVIE","A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen.",2020,"",98,"['crime', 'action', 'drama', 'thriller']","['IN']",NA,"tt10230422",5.8,5571
"3132","tm881973","True: Wuzzle Wegg Day","MOVIE","Spring has sprung in Rainbow City, and Wuzzle Wegg Day is right around the corner! But Bartleby's convinced that a Wegg-stealing monster is on the loose.",2020,"",23,"['animation']","['CA']",NA,"",NA,NA
"3133","tm452237","The Car: Road to Revenge","MOVIE","In a dilapidated cyberpunk city plagued by crime and corruption, an unscrupulous District Attorney is savagely murdered and tossed out of a building onto his brand new car. Mysteriously, the District Attorney and his car come back to life as a single being with a thirst for vengeance. The eerie driver-less car embarks on a vicious rampage exacting revenge on the criminals who murdered him. The Car: Road to Revenge is the stylized sequel to the unconventional horror cult classic The Car (1977), and features an homage to the original with the return of Ronny Cox as the Mechanic.",2019,"",89,"['thriller', 'action', 'horror']","['US']",NA,"tt9382596",4,1082
"3134","tm851499","Vir Das: For India","MOVIE","From the Vedas to Vasco de Gama to vacuous Bollywood plotlines, comedian Vir Das celebrates the history of India with his one-of-a-kind perspective.",2020,"",75,"['comedy']","['IN']",NA,"tt11611314",7.7,1232
"3135","tm813938","Mike Epps: Only One Mike","MOVIE","A 2019 stand-up comedy special by comedian Mike Epps, where he tackles sexual misconduct, special education, aging body parts and more.",2019,"",63,"['comedy']","['US']",NA,"tt10376958",4.7,295
"3136","tm818499","Revenge of the Pontianak","MOVIE","1965, Malaysia. A small village helps Khalid and Siti prepare for their wedding day. Soon after, a great darkness falls upon the village as a string of horrific deaths and supernatural happenings create widespread fear and paranoia amongst the villagers. The events force a confession from Khalid to a murder of a girl he made pregnant years before, now believed to have returned as a Pontianak. To kill this vengeful vampire, he rallies all the men of the village and sets out into the jungle to hunt her down. But can the village stop her?",2019,"",92,"['romance', 'horror']","['SG', 'MY']",NA,"tt9113332",5.3,267
"3137","tm853113","Thomas & Friends: Marvelous Machinery","MOVIE","Ruth, Thomas's new friend will bring great exciting adventures and technology.",2020,"",59,"['family', 'fantasy', 'animation', 'action']","[]",NA,"tt12692980",6.1,15
"3138","tm830994","Thomas & Friends: Digs & Discoveries","MOVIE","Thomas the Tank Engine has traveled a lot, but is now going to Italy for the first time! There he meets the nice and smart Gina, an expert in everything that is Italian. Thomas believes he is very smart and wants to prove to Gina that he does not need her help, but in reality he is astonished by everything he sees... Because why is that tower so crooked? And why do the buildings look so unfinished? And what about the mysterious story of the Lost Locomotive? When Thomas gets lost in an old mine because of his recklessness, he soon finds out that learning new things - just like making new friends - takes time!",2019,"",64,"['animation']","[]",NA,"",NA,NA
"3139","tm1080109","Quam's Money","MOVIE","In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud.",2020,"",114,"['action']","['NG']",NA,"",NA,NA
"3140","tm920599","Super Monsters: The New Class","MOVIE","A new class of pint-sized preschoolers arrives at Pitchfork Pines, and the Super Monsters take their superpowers to the next level - the Purple Room.",2020,"",24,"['animation']","['CA']",NA,"",NA,NA
"3141","tm848261","Aaviri","MOVIE","A thriller film directed by Ravi Babu, starring Ravi Babu and Neha Chauhan in the lead roles.",2019,"",113,"['thriller', 'drama']","['IN']",NA,"tt10081210",4,95
"3142","tm908128","Chaman Bahar","MOVIE","An ambitious young man, in a small town in Central India, sets up a paan shop to a floundering start. His fortunes start to change dramatically when a family shifts in the house across the road. Hordes of boys start following the teenage girl from the family and set up an ""adda"" at Billu's shop. His business flourishes tremendously but Billu is now more unhappy than ever, as he has fallen for the girl himself!",2020,"",111,"['drama', 'comedy']","['IN']",NA,"tt8747450",7,6732
"3143","tm813634","Dorasani","MOVIE","Dorasani explores the periodic tale of love between a rich lady Devaki and a poor boy Raju.",2019,"",130,"['drama', 'romance']","['IN']",NA,"tt10369210",5.8,195
"3144","tm477403","Kaake Da Viyah","MOVIE","A guy's family wants him to get married but it is harder than he thought. On one hand, his grandmother wants him to get married to a girl of her choice, and on the other, his mother is eager to select a girl for him. On top of that, he is already in love with a girl. His dilemma of being stuck between three women forms the crux of the story.",2019,"",133,"['comedy', 'romance']","['IN']",NA,"tt8852408",5,73
"3145","tm854786","Yeh Ballet","MOVIE","Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",2020,"PG-13",117,"['drama']","['IN']",NA,"tt10230436",7.5,1312
"3146","tm468824","Super Monsters Furever Friends","MOVIE","On the first night of spring, the Super Monsters gather for food, fun and games in the park -- and get to meet their adorable new pets!",2019,"",58,"['fantasy', 'animation']","[]",NA,"tt10087988",5.7,71
"3147","tm825934","Super Monsters Back to School","MOVIE","Lobo's cousin Vida moves to town, Lobo shows her his favorite places around town, and the next day Vida has her first day of school.",2019,"",23,"['animation']","['CA', 'US']",NA,"tt10687588",6.2,29
"3148","tm843143","Whipped","MOVIE","Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.",2020,"",97,"['romance']","['ID']",NA,"",NA,NA
"3149","ts230973","Arashi's Diary: Voyage","SHOW","Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.",2019,"TV-Y7",31,"['documentation', 'music']","['JP']",1,"tt11434874",7.7,42
"3150","tm927033","True: Friendship Day","MOVIE","When a giant Grippity-Grab snags Grizelda's friendship bracelet and turns her into a mermaid, True heads under the sea with magic wishes to save the day.",2020,"",23,"['animation', 'family']","['CA']",NA,"tt12855976",6.8,22
"3151","tm810873","Thottappan","MOVIE","When his partner in crime goes missing, a small-time crook’s life is transformed as he dedicates himself to raising the daughter his friend left behind.",2019,"",140,"['drama']","['IN']",NA,"tt9448362",6.9,366
"3152","tm475638","Luccas Neto em: Uma Babá Muito Esquisita","MOVIE","Luccas and Gi forgot about Mother's Day and now they need to find a special present. Get together with the brothers and their freaky babysitter in this new adventure!",2019,"",75,"['comedy', 'family']","['BR']",NA,"tt14706806",3,36
"3153","tm437379","I'm Leaving Now","MOVIE","After 16 years in Brooklyn, working three low-paying jobs and sending the bulk of his earnings to his wife and children, undocumented immigrant Felipe decides to return home to his family in Mexico. But when he informs them of his plans, he discovers that they've squandered the money, are deeply in debt and don’t want him to return. They need him to stay in the U.S. and continue to earn.",2019,"",74,"['documentation', 'european']","['MX', 'US']",NA,"tt6541924",6.5,108
"3154","tm981956","Spirit Riding Free: Ride Along Adventure","MOVIE","Join Lucky and her friends on an interactive mission to save Maricela’s beloved mare from greedy horse thieves who've taken her captive with a wild herd.",2020,"",22,"['animation', 'action', 'drama', 'family', 'western', 'comedy']","['US']",NA,"tt13453940",5.9,60
"3155","tm902363","El límite infinito","MOVIE","From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports.",2020,"",47,"['documentation']","['AR']",NA,"",NA,NA
"3156","tm839479","Fan Girl","MOVIE","A starstruck girl sneaks into an actor’s house and discovers a horrifying truth about her idol.",2020,"",100,"['drama']","['PH']",NA,"tt11091664",6.7,366
"3157","tm405637","122","MOVIE","During a bloody night, a young man and his lover are struggling, not to get to the hospital, but to escape and survive.",2019,"R",95,"['horror', 'thriller']","['EG']",NA,"tt7867670",6.2,5530
