"","person_id","id","name","character","role"
"114",74499,"tm14873","Harry Guardino","Bressler","ACTOR"
"115",24045,"tm14873","Reni Santoni","Chico","ACTOR"
"116",29250,"tm14873","John Vernon","The Mayor","ACTOR"
"117",29225,"tm14873","Andrew Robinson","Killer","ACTOR"
"118",63141,"tm14873","John Larch","Chief","ACTOR"
"119",28420,"tm14873","John Mitchum","De Georgio","ACTOR"
"120",83026,"tm14873","Mae Mercer","Mrs. Russell","ACTOR"
"121",83027,"tm14873","Lyn Edgington","Norma","ACTOR"
"122",83028,"tm14873","Ruth Kobart","Bus Driver","ACTOR"
"123",29253,"tm14873","Woodrow Parfrey","Mr. Jaffe","ACTOR"
"124",7250,"tm14873","Josef Sommer","Rothko","ACTOR"
"125",83029,"tm14873","William Paterson","Bannerman","ACTOR"
"126",44085,"tm14873","James Nolan","Liquor Proprietor","ACTOR"
"127",28418,"tm14873","Maurice Argent","Sid Kleinman","ACTOR"
"128",83030,"tm14873","Jo De Winter","Miss Willis","ACTOR"
"129",642080,"tm14873","Craig Kelly","Sgt. Reineke","ACTOR"
"130",24203,"tm14873","Albert Popwell","Bank Robber (uncredited)","ACTOR"
"131",83031,"tm14873","Joy Carlin","Communications Secretary (uncredited)","ACTOR"
"132",83032,"tm14873","Bill Couch","Suicide Jumper (uncredited)","ACTOR"
"133",83033,"tm14873","Diana Davidson","Swimmer (uncredited)","ACTOR"
"134",6848,"tm14873","Vince Deadrick Sr.","Pedestrian (uncredited)","ACTOR"
"135",83034,"tm14873","Chuck Dorsett","TV Watcher (uncredited)","ACTOR"
"136",83035,"tm14873","Al Dunlap","Man in Jaffe's Cafe (uncredited)","ACTOR"
"137",83036,"tm14873","Larry Duran","(uncredited)","ACTOR"
"138",63147,"tm14873","George Fargo","Homicide Detective (uncredited)","ACTOR"
"139",83037,"tm14873","Lois Foraker","Hot Mary (uncredited)","ACTOR"
"140",29725,"tm14873","Max Gail","Tunnel Hoodlum (uncredited)","ACTOR"
"141",19846,"tm14873","John Garber","Tunnel Hoodlum (uncredited)","ACTOR"
"142",37760,"tm14873","Christopher Pray","Tunnel Hoodlum (uncredited)","ACTOR"
"143",83038,"tm14873","Eddie Garrett","Policeman (uncredited)","ACTOR"
"144",58911,"tm14873","James W. Gavin","Helicopter Pilot (uncredited)","ACTOR"
"145",28432,"tm14873","David Gilliam","Homosexual (uncredited)","ACTOR"
"146",83039,"tm14873","Don Haggerty","Minor Role (uncredited)","ACTOR"
"147",83040,"tm14873","Scott Hale","Newsman (uncredited)","ACTOR"
"148",83041,"tm14873","Kate Harper","Underwear Chick (uncredited)","ACTOR"
"149",83042,"tm14873","Bob Harris","Man in Truck (uncredited)","ACTOR"
"150",15562,"tm14873","Chuck Hicks","Flower Vendor (uncredited)","ACTOR"
"151",28171,"tm14873","Raymond Johnson","Big Black Man (uncredited)","ACTOR"
"152",58618,"tm14873","Richard Lawson","Homosexual (uncredited)","ACTOR"
"153",83043,"tm14873","Laurie Mock","Third Nude (uncredited)","ACTOR"
"154",83044,"tm14873","Ann Noland","Hippie Girl (uncredited)","ACTOR"
"155",83045,"tm14873","Kathleen O'Malley","Lady in Jaffe's Cafe (uncredited)","ACTOR"
"156",11774,"tm14873","Angela Paton","Homicide Detective (uncredited)","ACTOR"
"157",83046,"tm14873","Victor Paul","Car Driver (uncredited)","ACTOR"
"158",27040,"tm14873","Debralee Scott","Ann Mary Deacon (uncredited)","ACTOR"
"159",56405,"tm14873","Don Siegel","Pedestrian Passing Harry's Car (uncredited)","ACTOR"
"160",83047,"tm14873","Kristoffer Tabori","Hippie Guy (uncredited)","ACTOR"
"161",357644,"tm14873","Tony Dario","Police Sergeant (uncredited)","ACTOR"
"162",1254876,"tm14873","Marc Hertsens","Steve - Doctor (uncredited)","ACTOR"
"163",1254791,"tm14873","Gordon Chapli","Fireman (uncredited)","ACTOR"
"164",1254778,"tm14873","Janet Wisely","First Nude (uncredited)","ACTOR"
"165",1255103,"tm14873","Pamela Tanimura","Bus Kid (uncredited)","ACTOR"
"166",1254838,"tm14873","Richard Samuelson","Bus Kid (uncredited)","ACTOR"
"167",1255106,"tm14873","Derek Jue","Bus Kid (uncredited)","ACTOR"
"168",1255122,"tm14873","Sean Maley","Bus Kid (uncredited)","ACTOR"
"169",1255589,"tm14873","Diane Darnell","Mayor's Secretary (uncredited)","ACTOR"
"170",56405,"tm14873","Don Siegel","","DIRECTOR"
"171",14989,"tm98978","Brooke Shields","Emmeline","ACTOR"
"172",44313,"tm98978","Christopher Atkins","Richard","ACTOR"
"173",36764,"tm98978","Leo McKern","Paddy Button","ACTOR"
"174",30068,"tm98978","William Daniels","Arthur Lestrange","ACTOR"
"175",80677,"tm98978","Jeffrey Kleiser","Lookout","ACTOR"
"176",66492,"tm98978","Gus Mercurio","Officer","ACTOR"
"177",80678,"tm98978","Elva Josephson","Young Emmeline","ACTOR"
"178",80679,"tm98978","Glenn Kohan","Young Richard","ACTOR"
"179",80680,"tm98978","Bradley Pryce","Little Paddy","ACTOR"
"180",80681,"tm98978","Chad Timmerman","Infant Paddy","ACTOR"
"181",80682,"tm98978","Gert Jacoby","Sailor","ACTOR"
"182",80683,"tm98978","Alex Hamilton","Sailor","ACTOR"
"183",80684,"tm98978","Richard Evanson","Sailor","ACTOR"
"184",28692,"tm98978","Randal Kleiser","","DIRECTOR"
"185",20837,"tm119281","Warren Beatty","Clyde Barrow","ACTOR"
"186",17170,"tm119281","Faye Dunaway","Bonnie Parker","ACTOR"
"187",16446,"tm119281","Michael J. Pollard","C. W. Moss","ACTOR"
"188",15098,"tm119281","Gene Hackman","Buck Barrow","ACTOR"
"189",22346,"tm119281","Estelle Parsons","Blanche","ACTOR"
"190",18249,"tm119281","Denver Pyle","Frank Hamer","ACTOR"
"191",11347,"tm119281","Dub Taylor","Ivan Moss","ACTOR"
"192",22347,"tm119281","Evans Evans","Velma Davis","ACTOR"
"193",22345,"tm119281","Gene Wilder","Eugene Grizzard","ACTOR"
"194",22348,"tm119281","Mabel Cavitt","Bonnie's mother (uncredited)","ACTOR"
"195",22349,"tm119281","Patrick Cranshaw","Bank Teller (uncredited)","ACTOR"
"196",345491,"tm119281","Owen Bush","Policeman (uncredited)","ACTOR"
"197",22351,"tm119281","Clyde Howdy","Deputy (uncredited)","ACTOR"
"198",22352,"tm119281","Russ Marker","Bank Guard (uncredited)","ACTOR"
"199",22354,"tm119281","Ann Palmer","Bonnie's Sister (uncredited)","ACTOR"
"200",511857,"tm119281","Ken Mayer","Sheriff Smoot (uncredited)","ACTOR"
"201",22355,"tm119281","Arthur Penn","","DIRECTOR"
"202",26187,"tm67378","Burt Lancaster","Dolworth","ACTOR"
